mathematics	0.37802856274612545	0.047767233461272776	0.43354680656242583	0.03353146324192401
jazz	0.37908292196075816	0.03392557909764766	0.4126223744613358	0.02518189845698341
dir	0.42645851928	0.03040136898880436	0.4694908647199999	0.029448673624128816
space_science_or_astronomy	0.3708099816832219	0.027651546843562576	0.4622535831157458	0.014790798319592138
class	0.48809040306410834	0.04375963170529713	0.5019631597097058	0.0383508068010267
prod	0.39680313332135836	0.044624254745266684	0.4759049191502166	0.02715793706534352
art_director	0.43662228855300056	0.031285653605256085	0.4650301914576695	0.02529391966162317
writer	0.46097438197472124	0.032147440310618246	0.516393739320184	0.023994466989361748
composer	0.35759723198927923	0.034588396354516354	0.41620706573060884	0.008942407428838043
books	0.3961911193624881	0.03311306047498089	0.47611480581236876	0.023142007977055207
pop	0.41674893108553945	0.03233918641728717	0.453794181069736	0.025698760911171292
rock	0.4512925464101401	0.039319797423413974	0.5089950364640584	0.019362798495836716
electro	0.3446961136580756	0.0538697530215594	0.4150503824867024	0.03252711549781829
folk	0.4338295328945231	0.04598040071782746	0.4754627152744195	0.02670866262198911
funk	0.44650596670882897	0.041035658048760734	0.47685155895271736	0.0345519832842142
hiphop	0.480620437288652	0.050241297400733874	0.49506126662776984	0.04269824465546139
engineering	0.4567533708487558	0.008766831109345834	0.4999167424524183	0.010487095263823212
political_science	0.3838683170688058	0.06051145274700115	0.4610841229272422	0.041069867156677764
environmental_science	0.44524954601443756	0.02905262987936633	0.5116612529766393	0.014747270880915321
agronomy	0.45217856738089257	0.024593723628452867	0.5138860416815239	0.014961250456396786
geology	0.37364014334661033	0.026603486992063535	0.43537803740223324	0.02776052225293903
applied_physics	0.39855207705626383	0.04461932385937259	0.45194816831034695	0.02754738390527245
health_science	0.4484388471261915	0.02413398003037338	0.4944056242683169	0.01264201597100565
theoretical_computer_science	0.42631909091483494	0.032025273372037616	0.45602315629463747	0.028587522941579277
biology	0.43368577132426955	0.023615735872817314	0.5188229573536278	0.009296804713831822
chemistry	0.4399266836047554	0.040299540798181405	0.48506517024275697	0.02500827509751586
physics	0.3828917720990178	0.038518575438128054	0.45380197342882117	0.03512589495146704
zoology	0.376940970675076	0.05058317369068792	0.42929431401556295	0.04402742343764226
