mathematics	46.5796002494	3.68641253667
jazz	47.8818221469	2.70319196049
dir	47.5985057745	2.36838734259
space_science_or_astronomy	44.5116071992	2.00419594909
class	49.2993936304	2.94424644931
prod	45.468027045	3.12683942722
art_director	48.4246756076	2.24676153884
writer	47.1648677638	2.0882625834
composer	46.2128774734	2.46283969778
books	45.418827034	2.39682259446
pop	47.8722909028	2.39729340298
rock	46.9955620023	2.36816271275
electro	45.3698852719	4.33328461827
folk	47.7106819912	2.99254855766
funk	48.3567799362	2.92264954712
hiphop	49.2599620716	3.38730637727
engineering	47.7440827824	0.709390955745
political_science	45.4307602296	4.48871655985
environmental_science	46.5298904019	1.77472152894
agronomy	46.8062449591	1.53599253165
geology	46.1843939033	2.3755324673
applied_physics	46.8609008907	3.17420964159
health_science	47.562335118	1.48604498588
theoretical_computer_science	48.3167492278	2.44326527284
biology	45.5308973311	1.42170294853
chemistry	47.5600603157	2.62166604732
physics	45.7624757142	3.15048421531
zoology	46.7532217744	4.20461158491
